Query ID	Gene	Count	Class	Order	Taxon	Agreed taxon	match ID	Identical matches %	Alignment length	Number mismatches	Number gap openings	Start of alignment in query	End of alignment in query	Start of alignment in match	End of alignment in match	Expect value	Bit score
4095|NZAC03014311|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Coleoptera	28S	9	Insecta	Coleoptera	Insecta	Coleoptera	gi|693465000|gb|KJ845050.1|	96.63	771	24	2	1	770	351	1120	0	1279
3591|NZAC03011949|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Polydesmida	28S	54	Diplopoda	Polydesmida	Myriapoda	Polydesmida	gi|222875978|gb|FJ605293.1|	82.62	938	114	37	1	910	346	1262	0	784
4075|NZAC03014360|Plot-LB1_Leaf-Litter|Subplot_E|Leaf-Litter|Ptiliidae	28S	14	Insecta	Coleoptera	Insecta	Ptiliidae	gi|756794254|gb|KM364304.1|	78.73	818	118	48	1	795	347	1131	3.00E-136	496
3762|NZAC03010580|Plot-6_Pitfall-Trap|Subplot_E|Pitfall-Trap|Araneae	28S	8	Arachnida	Araneae	Arachnida	Araneae	gi|133902426|gb|EF201663.1|	88.45	788	72	17	1	777	304	1083	0	933
1639|NZAC03010328|Plot-7_Leaf-Litter|Subplot_M|Leaf-Litter|Curculionidae	28S	9	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014357|gb|FJ867671.1|	90.07	765	63	10	1	754	363	1125	0	979
4258|NZAC03006380|Plot-CM30c30_Pitfall-Trap|Subplot_N|Pitfall-Trap|Curculionidae	28S	25	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014389|gb|FJ867703.1|	90.94	817	47	14	1	797	363	1172	0	1074
4065|NZAC03014262|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Coleoptera	28S	10	Insecta	Coleoptera	Insecta	Coleoptera	gi|693465003|gb|KJ845053.1|	96.4	778	26	2	1	778	350	1125	0	1280
4268|NZAC03013505|Plot-2_Pitfall-Trap|Subplot_M|Pitfall-Trap|Coleoptera	28S	17	Insecta	Coleoptera	Insecta	Salpingidae	gi|299152214|gb|HM156701.1|	82.49	811	109	23	1	788	336	1136	0	680
4370|NZAC03012792|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Curculionidae	28S	17	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014408|gb|FJ867722.1|	93.38	786	43	6	1	786	363	1139	0	1155
4301|NZAC03011609|Plot-6_Pitfall-Trap|Subplot_B|Pitfall-Trap|Coleoptera	28S	13	Insecta	Coleoptera	Insecta	Staphylinidae	gi|693464975|gb|KJ845025.1|	91.75	776	57	6	1	772	351	1123	0	1072
3531|NZAC03012271|Plot-8_Leaf-Litter|Subplot_O|Leaf-Litter|Lepidoptera	28S	14	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|375126351|gb|JF702949.1|	99.12	794	7	0	1	794	96	889	0	1428
3962|NZAC03011813|Plot-4_Pitfall-Trap|Subplot_A|Pitfall-Trap|Eupulmonata	28S	23	Gastropoda	Gastropoda	Gastropoda	Eupulmonata	gi|448645764|gb|JX098099.1|	88.79	776	60	19	1	763	351	1112	0	926
3861|NZAC03011336|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Hemiptera	28S	14	Insecta	Hemiptera	Insecta	Hemiptera	gi|501289711|dbj|AB725684.1|	85.29	843	90	29	1	827	3278	4102	0	839
3759|NZAC03009076|Plot-LB1_Pitfall-Trap|Subplot_C|Pitfall-Trap|Scaphidiinae	28S	10	Insecta	Coleoptera	Insecta	Scaphidiinae	gi|693465034|gb|KJ845084.1|	88.83	770	83	2	1	769	349	1116	0	942
3766|NZAC03010494|Plot-6_Pitfall-Trap|Subplot_E|Pitfall-Trap|Thysanoptera	28S	6	Insecta	Thysanoptera	Insecta	Thysanoptera	gi|449084648|gb|KC513119.1|	90.81	555	39	11	139	687	448	996	0	732
3880|NZAC03011082|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Pseudoscorpiones	28S	15	Arachnida	Pseudoscorpiones	Arachnida	Pseudoscorpiones	gi|193075308|gb|EU559444.1|	87.92	778	76	17	1	769	325	1093	0	900
1697|NZAC03010372|Plot-7_Leaf-Litter|Subplot_M|Leaf-Litter|Curculionidae	28S	5	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014357|gb|FJ867671.1|	87.6	766	75	15	1	754	363	1120	0	870
3760|NZAC03013604|Plot-6_Pitfall-Trap|Subplot_E|Pitfall-Trap|Hymenoptera	28S	5	Insecta	Hymenoptera	Insecta	Hymenoptera	gi|300391056|gb|GQ374775.1|	85.37	827	91	23	1	814	351	1160	0	830
2560|NZAC03013542|Plot-2_Pitfall-Trap|Subplot_E|Pitfall-Trap|Araneae	28S	4	Arachnida	Araneae	Arachnida	Araneae	gi|108937418|gb|DQ639875.1|	99.1	774	6	1	14	786	1	774	0	1389
3983|NZAC03011859|Plot-4_Pitfall-Trap|Subplot_A|Pitfall-Trap|Eupulmonata	28S	3	Gastropoda	Gastropoda	Gastropoda	Eupulmonata	gi|448645743|gb|JX098084.1|	87.77	777	59	26	1	758	351	1110	0	876
2408|NZAC03009298|Plot-LB1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Formicidae	28S	15	Insecta	Hymenoptera	Insecta	Formicidae	gi|676652488|gb|KJ859925.1|	100	506	0	0	1	506	640	1145	0	935
2475|NZAC03009294|Plot-LB1_Pitfall-Trap|Subplot_O|Pitfall-Trap|Scarabaeidae	28S	6	Insecta	Coleoptera	Insecta	Scarabaeidae	gi|693465089|gb|KJ845139.1|	93.25	755	42	6	1	751	131	880	0	1103
3604|NZAC03011933|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Hemiptera	28S	8	Insecta	Hemiptera	Insecta	Hemiptera	gi|47175239|gb|AY252448.1|	89.29	336	27	7	498	831	5	333	4.00E-111	412
2658|NZAC03011584|Plot-6_Pitfall-Trap|Subplot_B|Pitfall-Trap|Coleoptera	28S	11	Insecta	Coleoptera	Insecta	Trogidae	gi|37223290|gb|AY310667.1|	93.59	749	43	3	1	745	373	1120	0	1112
3775|NZAC03009141|Plot-LB1_Pitfall-Trap|Subplot_C|Pitfall-Trap|Carabidae	28S	7	Insecta	Coleoptera	Insecta	Carabidae	gi|219878535|gb|FJ173081.1|	89.79	862	49	28	11	865	1	830	0	1068
4094|NZAC03010381|Plot-7_Leaf-Litter|Subplot_M|Leaf-Litter|Pseudoscorpiones	28S	9	Arachnida	Pseudoscorpiones	Arachnida	Pseudoscorpiones	gi|193075317|gb|EU559453.1|	82.55	791	96	33	1	768	325	1096	0	660
3832|NZAC03010846|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Hemiptera	28S	7	Insecta	Hemiptera	Insecta	Cicadellidae	gi|10998662|gb|AF304575.1|AF304575	97.86	842	16	2	1	840	63	904	0	1454
1703|NZAC03010364|Plot-7_Leaf-Litter|Subplot_M|Leaf-Litter|Araneae	28S	3	Arachnida	Araneae	Arachnida	Araneae	gi|460276676|gb|JX017356.1|	88.41	811	63	20	1	808	43	825	0	948
4344|NZAC03012868|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Hemiptera	28S	7	Insecta	Hemiptera	Insecta	Aphidoidea	gi|443681471|gb|JQ651161.1|	83.05	413	49	15	265	676	158	550	5.00E-94	355
3017|NZAC03009345|Plot-CM30c30_Pitfall-Trap|Subplot_I|Pitfall-Trap|Diptera	28S	2	Insecta	Diptera	Insecta	Diptera	gi|202070898|gb|FJ040537.1|	74.96	699	136	32	1	673	353	1038	6.00E-73	285
3590|NZAC03012669|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Coleoptera	28S	4	Insecta	Coleoptera	Insecta	Coleoptera	gi|444301570|gb|JX845025.1|	90.64	801	65	8	1	797	337	1131	0	1055
1601|NZAC03010930|Plot-6_Leaf-Litter|Subplot_N|Leaf-Litter|Isopoda	28S	6	Malacostraca	Isopoda	Malacostraca	Isopoda	gi|591985782|dbj|AB889806.1|	93.48	138	9	0	891	1028	455	592	8.00E-49	206
4162|NZAC03011432|Plot-5_Pitfall-Trap|Subplot_B|Pitfall-Trap|Lepidoptera	28S	3	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|375126337|gb|JF702935.1|	86	814	76	34	1	796	96	889	0	837
2796|NZAC03010514|Plot-6_Pitfall-Trap|Subplot_A|Pitfall-Trap|Scarabaeidae	28S	2	Insecta	Coleoptera	Insecta	Scarabaeidae	gi|693465089|gb|KJ845139.1|	91.52	696	46	7	1	692	131	817	0	946
4340|NZAC03010270|Plot-1_Leaf-Litter|Subplot_L|Leaf-Litter|Araneae	28S	2	Arachnida	Araneae	Arachnida	Araneae	gi|452091398|gb|JN816916.1|	88.69	796	77	12	1	791	34	821	0	959
4412|NZAC03012752|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Coleoptera	28S	3	Insecta	Coleoptera	Insecta	Coleoptera	gi|299152215|gb|HM156702.1|	82.35	827	91	39	1	789	355	1164	0	667
2656|NZAC03011632|Plot-6_Pitfall-Trap|Subplot_B|Pitfall-Trap|Araneae	28S	5	Arachnida	Araneae	Arachnida	Araneae	gi|56393188|gb|AY671970.1|	89.2	759	72	7	6	757	1	756	0	941
4388|NZAC03012798|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Lepidoptera	28S	6	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	90	790	70	8	1	783	358	1145	0	1013
3016|NZAC03009341|Plot-CM30c30_Pitfall-Trap|Subplot_I|Pitfall-Trap|Diptera	28S	2	Insecta	Diptera	Insecta	Diptera	gi|283099675|gb|GU248641.1|	86.75	649	64	20	1	636	384	1023	0	702
3577|NZAC03012900|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Lepidoptera	28S	3	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	88.71	363	37	2	382	741	784	1145	1.00E-119	440
1495|NZAC03012374|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Siphonaptera	28S	2	Insecta	Siphonaptera	Insecta	Siphonaptera	gi|169248132|gb|EU336152.1|	100	490	0	0	1	490	366	855	0	905
1605|NZAC03012127|Plot-6_Leaf-Litter|Subplot_N|Leaf-Litter|Elateridae	28S	3	Insecta	Coleoptera	Insecta	Elateridae	gi|118341776|dbj|AB231259.1|	93.08	477	29	3	1	476	303	776	0	695
4299|NZAC03011493|Plot-6_Pitfall-Trap|Subplot_B|Pitfall-Trap|Hymenoptera	28S	9	Insecta	Hymenoptera	Insecta	Hymenoptera	gi|117343746|gb|DQ888430.1|	93.67	742	40	6	34	771	1	739	0	1103
3805|NZAC03010843|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Orthoptera	28S	3	Insecta	Orthoptera	Insecta	Orthoptera	gi|540361481|gb|KF570940.1|	89.02	847	65	20	1	830	304	1139	0	1024
1452|NZAC03012318|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Diplura	28S	3	Diplura <entrophs>	Diplura <entrophs>	Hexapoda	Diplura	gi|239586505|gb|EF199977.2|	86.1	806	91	20	1	791	442	1241	0	848
3953|NZAC03011383|Plot-8_Leaf-Litter|Subplot_O|Leaf-Litter|Hemiptera	28S	4	Insecta	Hemiptera	Insecta	Cercopidae	gi|334086770|gb|JF719822.1|	81.37	864	114	40	1	837	1368	2211	0	660
4267|NZAC03006218|Plot-CM30c30_Pitfall-Trap|Subplot_N|Pitfall-Trap|Coleoptera	28S	2	Insecta	Coleoptera	Insecta	Coleoptera	gi|444301570|gb|JX845025.1|	78.99	814	122	38	1	784	337	1131	1.00E-140	510
4378|NZAC03012772|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Isopoda	28S	14	Malacostraca	Isopoda	Malacostraca	Isopoda	gi|56968006|gb|AY859552.1|	85.63	327	35	11	301	622	877	1196	4.00E-87	333
4478|NZAC03010700|Plot-CM30c30_Pitfall-Trap|Subplot_M|Pitfall-Trap|Araneae	28S	2	Arachnida	Araneae	Arachnida	Araneae	gi|132694128|gb|EF128109.1|	81.08	756	103	31	1	733	19	757	7.00E-158	568
3851|NZAC03010433|Plot-6_Pitfall-Trap|Subplot_A|Pitfall-Trap|Hymenoptera	28S	3	Insecta	Hymenoptera	Insecta	Hymenoptera	gi|359293338|gb|JN623625.1|	96.69	786	21	4	1	786	131	911	0	1303
4499|NZAC03013804|Plot-LB1_Leaf-Litter|Subplot_E|Leaf-Litter|Araneae	28S	3	Arachnida	Araneae	Arachnida	Araneae	gi|723217537|gb|KM033192.1|	91.06	794	55	14	1	786	302	1087	0	1059
2711|NZAC03010643|Plot-4_Pitfall-Trap|Subplot_H|Pitfall-Trap|Scaphidiinae	28S	9	Insecta	Coleoptera	Insecta	Scaphidiinae	gi|693464929|gb|KJ844979.1|	83.05	649	84	21	167	807	481	1111	2.00E-157	566
3804|NZAC03010868|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Hemiptera	28S	2	Insecta	Hemiptera	Insecta	Hemiptera	gi|169144610|gb|EU183677.1|	97.39	345	9	0	494	838	1	345	2.00E-164	590
4030|NZAC03012034|Plot-6_Leaf-Litter|Subplot_I|Leaf-Litter|Polydesmida	28S	16	Diplopoda	Polydesmida	Myriapoda	Polydesmida	gi|222875978|gb|FJ605293.1|	80.52	955	111	56	1	918	346	1262	0	664
4223|NZAC03009127|Plot-LB1_Pitfall-Trap|Subplot_O|Pitfall-Trap|Hymenoptera	28S	2	Insecta	Hymenoptera	Insecta	Hymenoptera	gi|461957685|gb|JX683192.1|	95.97	794	23	6	25	818	1	785	0	1280
3533|NZAC03012312|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Hemiptera	28S	7	Insecta	Hemiptera	Insecta	Hemiptera	gi|501289711|dbj|AB725684.1|	83.99	837	104	27	1	820	3278	4101	0	776
4382|NZAC03012714|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Formicidae	28S	3	Insecta	Hymenoptera	Insecta	Formicidae	gi|87047535|gb|DQ353689.1|	99.04	836	3	4	1	831	358	1193	0	1495
4404|NZAC03012775|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Formicidae	28S	2	Insecta	Hymenoptera	Insecta	Formicidae	gi|359293465|gb|JN623752.1|	97.53	811	11	3	1	804	131	939	0	1378
4228|NZAC03013540|Plot-3_Pitfall-Trap|Subplot_H|Pitfall-Trap|Coleoptera	28S	1	Insecta	Coleoptera	Insecta	Coleoptera	gi|299152214|gb|HM156701.1|	92.58	809	44	10	1	801	336	1136	0	1147
4449|NZAC03010083|Plot-1_Leaf-Litter|Subplot_L|Leaf-Litter|Curculionidae	28S	1	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014368|gb|FJ867682.1|	88.34	806	73	11	1	799	364	1155	0	948
3913|NZAC03011120|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Staphylinidae	28S	3	Insecta	Coleoptera	Insecta	Staphylinidae	gi|693464975|gb|KJ845025.1|	91.26	778	58	9	1	773	351	1123	0	1051
3563|NZAC03012703|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Lepidoptera	28S	3	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	87.75	400	45	4	355	751	747	1145	9.00E-127	464
1469|NZAC03012366|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Lepidoptera	28S	4	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	90.05	734	60	13	1	725	379	1108	0	939
3605|NZAC03011930|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Lepidoptera	28S	6	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	90.35	373	33	2	397	766	773	1145	2.00E-133	486
1748|NZAC03013273|Plot-8_Leaf-Litter|Subplot_O|Leaf-Litter|Coleoptera	28S	4	Insecta	Coleoptera	Insecta	Coleoptera	gi|52222115|gb|AY646347.1|	94.69	734	33	4	35	763	1	733	0	1136
4337|NZAC03012929|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Pselaphinae	28S	2	Insecta	Coleoptera	Insecta	Pselaphinae	gi|693465100|gb|KJ845150.1|	79.55	846	105	51	1	823	131	931	4.00E-150	542
3546|NZAC03013346|Plot-8_Leaf-Litter|Subplot_O|Leaf-Litter|Thysanoptera	28S	1	Insecta	Thysanoptera	Insecta	Thysanoptera	gi|449084569|gb|KC513040.1|	87.89	760	70	17	1	749	325	1073	0	874
3539|NZAC03012364|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Lepidoptera	28S	1	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	89.02	501	48	5	246	743	645	1141	8.00E-172	614
2479|NZAC03009122|Plot-LB1_Pitfall-Trap|Subplot_O|Pitfall-Trap|Carabidae	28S	1	Insecta	Coleoptera	Insecta	Carabidae	gi|578896971|gb|KF551633.1|	89.72	710	51	18	1	706	315	1006	0	887
4484|NZAC03013845|Plot-LB1_Leaf-Litter|Subplot_E|Leaf-Litter|Lepidoptera	28S	2	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|375126394|gb|JF702992.1|	93.36	798	39	9	1	786	96	891	0	1168
3555|NZAC03013033|Plot-6_Leaf-Litter|Subplot_N|Leaf-Litter|Coleoptera	28S	1	Insecta	Coleoptera	Insecta	Coleoptera	gi|156958848|gb|EU048304.1|	81.53	796	121	20	1	782	94	877	2.00E-177	632
4035|NZAC03013153|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Coleoptera	28S	1	Insecta	Coleoptera	Insecta	Coleoptera	gi|553062877|gb|KC524995.1|	90.11	374	23	13	418	785	785	1150	1.00E-129	473
3890|NZAC03011355|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Lepidoptera	28S	1	Insecta	Lepidoptera	Insecta	Lepidoptera	gi|18765999|gb|AF423922.1|	89.25	800	69	17	1	795	358	1145	0	987
1607|NZAC03013159|Plot-6_Leaf-Litter|Subplot_N|Leaf-Litter|Coleoptera	28S	2	Insecta	Coleoptera	Insecta	Coleoptera	gi|444301570|gb|JX845025.1|	93.04	761	50	3	1	758	338	1098	0	1109
3968|NZAC03011819|Plot-4_Pitfall-Trap|Subplot_A|Pitfall-Trap|Araneae	28S	1	Arachnida	Araneae	Arachnida	Araneae	gi|460276676|gb|JX017356.1|	90.4	823	61	14	1	816	43	854	0	1068
4393|NZAC03012742|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Lithobiomorpha	28S	9	Chilopoda	Lithobiomorpha	Myriapoda	Lithobiomorpha	gi|81158312|gb|DQ222132.1|	93.08	535	20	14	346	874	702	1225	0	774
4067|NZAC03014301|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Symphyla	28S	5	Myriapoda	Symphyla	Myriapoda	Symphyla	gi|32527533|gb|AY210821.1|	94.11	950	51	5	1	947	604	1551	0	1443
3790|NZAC03010883|Plot-1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Formicidae	28S	2	Insecta	Hymenoptera	Insecta	Formicidae	gi|676652509|gb|KJ859946.1|	98.37	923	2	4	1	911	368	1289	0	1609
3921|NZAC03011342|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Formicidae	28S	2	Insecta	Hymenoptera	Insecta	Formicidae	gi|676652587|gb|KJ860024.1|	97.06	850	14	8	1	849	369	1208	0	1423
4066|NZAC03014277|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Staphylinidae	28S	8	Insecta	Coleoptera	Insecta	Staphylinidae	gi|693464876|gb|KJ844926.1|	95.34	772	30	4	1	767	372	1142	0	1221
3517|NZAC03011890|Plot-6_Leaf-Litter|Subplot_I|Leaf-Litter|Coleoptera	28S	3	Insecta	Coleoptera	Insecta	Coleoptera	gi|162072655|gb|EU164661.1|	86.3	664	56	28	179	834	516	1152	0	689
2426|NZAC03011446|Plot-4_Pitfall-Trap|Subplot_O|Pitfall-Trap|Archaeognatha	28S	5	Insecta	Archaeognatha	Insecta	Archaeognatha	gi|34223611|gb|AY338647.1|	83.46	399	24	29	423	814	669	1032	3.00E-87	333
4251|NZAC03009053|Plot-LB1_Pitfall-Trap|Subplot_L|Pitfall-Trap|Carabidae	28S	1	Insecta	Coleoptera	Insecta	Carabidae	gi|17017081|gb|AF438058.1|	91.57	712	46	12	1	708	346	1047	0	970
3982|NZAC03011897|Plot-4_Pitfall-Trap|Subplot_A|Pitfall-Trap|Polydesmida	28S	4	Diplopoda	Polydesmida	Myriapoda	Polydesmida	gi|56968016|gb|AY859562.1|	84.12	781	95	25	79	848	1522	2284	0	728
3769|NZAC03009025|Plot-LB1_Pitfall-Trap|Subplot_C|Pitfall-Trap|Hymenoptera	28S	3	Insecta	Hymenoptera	Insecta	Hymenoptera	gi|461957685|gb|JX683192.1|	95.59	794	25	9	24	816	1	785	0	1264
4353|NZAC03012871|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Isopoda	28S	3	Malacostraca	Isopoda	Malacostraca	Isopoda	gi|526131011|gb|KC610429.1|	92.21	154	6	5	867	1016	630	781	5.00E-51	213
3542|NZAC03012382|Plot-4_Leaf-Litter|Subplot_A|Leaf-Litter|Coleoptera	28S	2	Insecta	Coleoptera	Insecta	Coleoptera	gi|693464881|gb|KJ844931.1|	80	830	108	45	2	808	353	1147	9.00E-157	564
2540|NZAC03010748|Plot-CM30c30_Pitfall-Trap|Subplot_M|Pitfall-Trap|Araneae	28S	1	Arachnida	Araneae	Arachnida	Araneae	gi|452091453|gb|JN816971.1|	87.91	728	76	10	1	719	31	755	0	846
3209|NZAC03012729|Plot-3_Leaf-Litter|Subplot_N|Leaf-Litter|Curculionidae	28S	1	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014389|gb|FJ867703.1|	87.2	711	53	26	1	690	383	1076	0	774
4184|NZAC03010964|Plot-6_Leaf-Litter|Subplot_N|Leaf-Litter|Isopoda	28S	7	Malacostraca	Isopoda	Malacostraca	Isopoda	gi|554618851|dbj|AB861892.1|	79.13	575	78	33	470	1017	1	560	6.00E-95	359
3897|NZAC03011276|Plot-2_Leaf-Litter|Subplot_C|Leaf-Litter|Thysanoptera	28S	1	Insecta	Thysanoptera	Insecta	Thysanoptera	gi|449084568|gb|KC513039.1|	98.7	538	5	2	4	541	757	1292	0	953
1770|NZAC03012336|Plot-8_Leaf-Litter|Subplot_O|Leaf-Litter|Curculionidae	28S	1	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014389|gb|FJ867703.1|	84.65	632	60	21	1	623	393	996	5.00E-173	617
1865|NZAC03014345|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Araneae	28S	1	Arachnida	Araneae	Arachnida	Araneae	gi|56393182|gb|AY671958.1|	91.82	440	29	6	2	436	337	774	8.00E-170	606
4022|NZAC03012895|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Coleoptera	28S	1	Insecta	Coleoptera	Insecta	Coleoptera	gi|162072882|gb|EU164664.1|	78.33	840	115	53	1	823	371	1160	9.00E-132	481
1832|NZAC03011149|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Staphylinidae	28S	2	Insecta	Coleoptera	Insecta	Staphylinidae	gi|693464975|gb|KJ845025.1|	89.74	741	63	11	1	732	354	1090	0	935
4131|NZAC03013498|Plot-5_Pitfall-Trap|Subplot_A|Pitfall-Trap|Araneae	28S	2	Arachnida	Araneae	Arachnida	Araneae	gi|595649370|gb|KJ408630.1|	86.52	794	90	16	18	803	2	786	0	857
3597|NZAC03012129|Plot-5_Leaf-Litter|Subplot_I|Leaf-Litter|Hemiptera	28S	8	Insecta	Hemiptera	Insecta	Aphidoidea	gi|171909019|gb|EU426880.1|	86.25	371	43	6	480	844	814	1182	4.00E-106	396
1693|NZAC03010344|Plot-7_Leaf-Litter|Subplot_M|Leaf-Litter|Curculionidae	28S	2	Insecta	Coleoptera	Insecta	Curculionidae	gi|228014389|gb|FJ867703.1|	93.01	730	37	9	1	720	363	1088	0	1053
2787|NZAC03011421|Plot-4_Pitfall-Trap|Subplot_P|Pitfall-Trap|Blattodea	28S	1	Insecta	Blattodea	Insecta	Blattodea	gi|12963252|gb|AF321248.1|	84.33	823	78	28	1	794	1328	2128	0	758
4034|NZAC03011249|Plot-CM30c30_Leaf-Litter|Subplot_L|Leaf-Litter|Isopoda	28S	2	Malacostraca	Isopoda	Malacostraca	Isopoda	gi|56968006|gb|AY859552.1|	91.49	188	14	2	801	986	1546	1733	2.00E-64	257
